ID,Section,Check,Severity,CLI Command,GUI,Expected (Pass),Misconfigured (Fail),CIS Controls v8,PCI DSS v4.0,Status,Notes
1.1.1,Brocade - Zoning,Default zone policy set to No Access,CRITICAL,"defzone --show","Web Tools / SANnav: Zoning > Default Zone","CLI: defzone --show returns 'Default Zone: No Access' | GUI: Default Zone field shows 'No Access'","CLI: defzone --show returns 'Default Zone: All Access' | GUI: Default Zone field shows 'All Access' — any unzoned device can communicate with any other","CIS 4.2","Req 1.3.2",,
1.1.2,Brocade - Zoning,No multi-initiator zones (exactly 1 initiator WWN per zone),CRITICAL,"zoneshow","Web Tools: Zoning > Zone Admin — review member counts","CLI: Each zone in zoneshow contains exactly 1 host HBA WWN and 1+ target WWNs | GUI: Zone member count shows 2 entries (1 initiator + 1 target) per single-target zone","CLI: zoneshow shows zone with 2+ host HBA WWNs as members | GUI: Zone shows multiple initiator WWNs — hosts can scan each other's LUNs","CIS 6.1","Req 7.2.1",,
1.1.3,Brocade - Zoning,No zones with wildcard or all membership,CRITICAL,"zoneshow","SANnav: Inventory > Zones","CLI: No * characters in any zone member list in zoneshow output | GUI: All zones show specific WWN or alias names only","CLI: zoneshow output contains * in member list or zone has unusually large member count | GUI: Zone member list contains wildcard entry","CIS 6.1","Req 7.2.1; Req 1.3.2",,
1.1.4,Brocade - Zoning,No stale zones (WWNs not present in fabric),MEDIUM,"nsshow then cross-reference with zoneshow","SANnav: Reports > Unused Zone Members","CLI: All WWNs listed in zoneshow appear in nsshow nameserver output | GUI: SANnav Unused Zone Members report returns 0 entries","CLI: WWNs exist in zoneshow that are absent from nsshow — decommissioned HBAs still in zones | GUI: SANnav report lists orphaned WWNs with no matching fabric device","CIS 5.3","Req 7.2.6",,
1.1.5,Brocade - Zoning,Zone aliases used for all WWNs,LOW,"alishow","Web Tools: Zoning > Zone Admin > Aliases","CLI: alishow shows alias for every WWN; zoneshow shows alias names not raw WWNs | GUI: Zone Admin displays human-readable names (e.g. ESX01_HBA0) not hex WWNs","CLI: zoneshow shows raw WWNs like 10:00:00:90:fa:1a:2b:3c with no alias | GUI: Zone Admin shows unreadable hex strings making audit difficult","CIS 4.1","Req 2.2.1",,
1.2.1,Brocade - Fabric Auth,DH-CHAP enabled on all ISLs / E-ports,HIGH,"authutil --show","Web Tools: Switch Admin > Authentication","CLI: authutil --show returns 'Policy: on' and 'Auth Type: dh-chap' | GUI: Authentication policy shows 'Active' or 'Enforced'","CLI: authutil --show returns 'Policy: off' or 'Auth Type: none' | GUI: Authentication shows 'Off' or 'None' — rogue switches can join fabric unauthenticated","CIS 4.2; CIS 6.3","Req 2.2.7; Req 8.6.1",,
1.2.2,Brocade - Fabric Auth,SCC policy active (only known switches can join fabric),HIGH,"sccpolicyshow","Web Tools: Security > SCC Policy","CLI: sccpolicyshow returns a list of permitted switch WWNs | GUI: SCC Policy shows a populated list of authorised switches","CLI: sccpolicyshow returns 'SCC_POLICY: none' or empty | GUI: SCC Policy blank or shows 'No Policy' — any switch can join fabric","CIS 4.2; CIS 12.2","Req 1.2.1; Req 2.2.1",,
1.2.3,Brocade - Fabric Auth,DCC policy active (only known devices on specific ports),HIGH,"dccpolicyshow","Web Tools: Security > DCC Policy","CLI: dccpolicyshow returns device-to-port mappings for all fabric ports | GUI: DCC Policy shows populated port/device bindings","CLI: dccpolicyshow returns empty or 'DCC_POLICY: none' | GUI: DCC Policy blank — any device can connect to any port","CIS 6.1; CIS 12.2","Req 1.3.2; Req 7.2.1",,
1.2.4,Brocade - Fabric Auth,No unauthorized switches in fabric,HIGH,"fabricshow","SANnav: Inventory > Switches","CLI: fabricshow lists only known switch WWNs and domain IDs matching your asset register | GUI: Inventory > Switches shows only expected devices with known names","CLI: fabricshow shows unfamiliar switch WWN or unexpected domain ID | GUI: Unknown switch appears in inventory without a recognised hostname","CIS 1.1; CIS 12.2","Req 1.2.1; Req 11.2.1",,
1.3.1,Brocade - Management,Telnet disabled,HIGH,"ipfilter --show","Web Tools: Switch Admin > Network","CLI: ipfilter --show shows no permit rule for port 23; telnet connection refused | GUI: Protocols page shows Telnet: Disabled","CLI: ipfilter --show shows permit for port 23; telnet <switch-ip> connects successfully | GUI: Telnet listed as Enabled — credentials transmitted in cleartext","CIS 4.8","Req 2.2.5; Req 4.2.1",,
1.3.2,Brocade - Management,HTTP disabled (HTTPS only),HIGH,"httpscertshow; curl -I http://<switch-ip>","Web Tools: Switch Admin > Security > Protocols","CLI: httpscertshow shows valid cert; curl to port 80 returns connection refused or redirects to HTTPS | GUI: Protocols page shows HTTP: Disabled / HTTPS: Enabled","CLI: curl http://<switch-ip> returns HTTP 200 with no redirect | GUI: HTTP listed as Enabled — management traffic sent in cleartext","CIS 4.8","Req 2.2.5; Req 4.2.1",,
1.3.3,Brocade - Management,Default admin password changed,CRITICAL,"Cannot verify via CLI — confirm with team","Web Tools: User Management","CLI: Attempting login with factory default password (e.g. 'password') fails | GUI: User record shows password last changed after initial deployment date","CLI: Login with default credentials succeeds | GUI: Password change date matches factory/installation date — never changed","CIS 5.2","Req 2.1.1; Req 8.3.6",,
1.3.4,Brocade - Management,No shared or generic accounts,HIGH,"userconfig --show -a","Web Tools / SANnav: User Management","CLI: All accounts in userconfig --show -a are individually named (e.g. j.smith, b.jones) | GUI: User list shows only personal named accounts","CLI: Accounts named 'admin' / 'oper' / 'readonly' present and used by multiple people | GUI: Generic account names visible with no individual owner","CIS 5.1","Req 8.2.1; Req 8.2.2",,
1.3.5,Brocade - Management,RBAC roles correctly assigned (least-privilege),MEDIUM,"userconfig --show -a","SANnav: User Management > Roles","CLI: Operators show role: operator; only designated admins show role: admin or securityadmin | GUI: Roles column shows varied roles appropriate to each user's function","CLI: Most or all accounts show role: admin regardless of function | GUI: All users assigned Administrator role — no role separation","CIS 6.2","Req 7.2.2",,
1.3.6,Brocade - Management,SSH-only remote access (Telnet blocked),HIGH,"sshutil --show; ipfilter --show","Web Tools: Switch Admin > SSH","CLI: sshutil --show shows SSH enabled; ipfilter shows port 22 open and port 23 absent/blocked | GUI: SSH: Enabled and Telnet: Disabled on protocols page","CLI: Port 23 open in ipfilter; telnet connection to switch succeeds | GUI: Telnet shown as Enabled alongside SSH","CIS 4.8; CIS 12.6","Req 2.2.5; Req 4.2.1",,
