ID,Section,Check,Severity,CLI Command,GUI,CIS Controls v8,PCI DSS v4.0,Status,Notes
1.1.1,Brocade - Zoning,Default zone policy set to No Access,CRITICAL,"defzone --show → must return 'No Access'","Web Tools / SANnav: Zoning > Default Zone","CIS 4.2 (Secure Config - Network)","Req 1.3.2 (Restrict inbound/outbound traffic)",,
1.1.2,Brocade - Zoning,No multi-initiator zones (exactly 1 initiator WWN per zone),CRITICAL,"zoneshow → count members per zone; initiator WWNs are host HBAs","Web Tools: Zoning > Zone Admin — review member counts","CIS 6.1 (Access Control - Establish)","Req 7.2.1 (Access control system)",,
1.1.3,Brocade - Zoning,No zones with wildcard or all membership,CRITICAL,"zoneshow → grep for any zone with * or unexpectedly large member counts","SANnav: Inventory > Zones","CIS 6.1 (Access Control - Establish)","Req 7.2.1 (Access control system); Req 1.3.2",,
1.1.4,Brocade - Zoning,No stale zones (WWNs not present in fabric),MEDIUM,"nsshow (fabric nameserver) vs zoneshow — cross-reference WWNs","SANnav: Reports > Unused Zone Members","CIS 5.3 (Account Management - Disable unused)","Req 7.2.6 (Review user access privileges)",,
1.1.5,Brocade - Zoning,Zone aliases used for all WWNs,LOW,"alishow — every WWN in active zones should appear in an alias","Web Tools: Zoning > Zone Admin > Aliases","CIS 4.1 (Secure Config - Establish and maintain)","Req 2.2.1 (Configuration standards)",,
1.2.1,Brocade - Fabric Auth,DH-CHAP enabled on all ISLs / E-ports,HIGH,"authutil --show → policy must be 'on' (enforced) or 'passive'","Web Tools: Switch Admin > Authentication","CIS 4.2 (Secure Config - Network); CIS 6.3 (Access Control - MFA)","Req 2.2.7 (Encrypt non-console admin access); Req 8.6.1",,
1.2.2,Brocade - Fabric Auth,SCC policy active (only known switches can join fabric),HIGH,sccpolicyshow → should list permitted switch WWNs,"Web Tools: Security > SCC Policy","CIS 4.2 (Secure Config - Network); CIS 12.2 (Network Infrastructure Mgmt)","Req 1.2.1 (Network security control configuration); Req 2.2.1",,
1.2.3,Brocade - Fabric Auth,DCC policy active (only known devices on specific ports),HIGH,dccpolicyshow,"Web Tools: Security > DCC Policy","CIS 6.1 (Access Control - Establish); CIS 12.2","Req 1.3.2; Req 7.2.1",,
1.2.4,Brocade - Fabric Auth,No unauthorized switches in fabric,HIGH,fabricshow → verify every switch is expected,"SANnav: Inventory > Switches","CIS 1.1 (Asset Inventory - Establish and maintain); CIS 12.2","Req 1.2.1; Req 11.2.1 (Manage authorized/unauthorized network components)",,
1.3.1,Brocade - Management,Telnet disabled,HIGH,"ipfilter --show → verify no rule permits port 23","Web Tools: Switch Admin > Network","CIS 4.8 (Secure Config - Uninstall/disable unnecessary services)","Req 2.2.5 (Disable unnecessary services/ports); Req 4.2.1 (No cleartext transmission)",,
1.3.2,Brocade - Management,HTTP disabled (HTTPS only),HIGH,"httpscertshow → confirm HTTPS cert present; attempt http://switch-ip — should fail","Web Tools: Switch Admin > Security > Protocols","CIS 4.8 (Secure Config - Uninstall/disable unnecessary services)","Req 2.2.5; Req 4.2.1 (Strong cryptography in transit)",,
1.3.3,Brocade - Management,Default admin password changed,CRITICAL,"Cannot verify via CLI — confirm with team / check last password change date","Web Tools: User Management","CIS 5.2 (Account Management - Use unique passwords)","Req 2.1.1 (Change vendor defaults); Req 8.3.6 (Password complexity)",,
1.3.4,Brocade - Management,No shared or generic accounts,HIGH,"userconfig --show -a → flag any named admin / user / readonly not tied to a person","Web Tools / SANnav: User Management","CIS 5.1 (Account Management - Establish and maintain inventory)","Req 8.2.1 (All user IDs are unique); Req 8.2.2 (No group/shared credentials)",,
1.3.5,Brocade - Management,RBAC roles correctly assigned (least-privilege),MEDIUM,"userconfig --show -a → verify roles: admin / operator / securityadmin","SANnav: User Management > Roles","CIS 6.2 (Access Control - Establish least-privilege)","Req 7.2.2 (Least-privilege access assignment)",,
1.3.6,Brocade - Management,SSH-only remote access (Telnet blocked),HIGH,"sshutil --show → SSH enabled; ipfilter --show → port 22 open / port 23 closed","Web Tools: Switch Admin > SSH","CIS 4.8; CIS 12.6 (Network Infrastructure Mgmt - Use secure protocols)","Req 2.2.5; Req 4.2.1",,
1.3.7,Brocade - Management,Management IP access restricted by ACL to management subnet,HIGH,"ipfilter --show → allow rules scoped to management subnet only","Web Tools: Switch Admin > IP Filter","CIS 12.2 (Network Infrastructure Mgmt - Maintain secure network arch)","Req 1.3.2 (Restrict inbound traffic); Req 1.4.1 (NSCs between trusted and untrusted networks)",,
1.3.8,Brocade - Management,Audit logging enabled,MEDIUM,"auditcfg --show → must show filter entries for security events","Web Tools: Admin > Audit Config","CIS 8.2 (Audit Log Management - Collect audit logs)","Req 10.2.1 (Audit log events); Req 10.3.2 (Protect audit logs from destruction)",,
1.3.9,Brocade - Management,Syslog configured to remote SIEM,MEDIUM,"syslogdipadd list → should show SIEM IP","Web Tools: Switch Admin > Syslog","CIS 8.2 (Audit Log Management); CIS 13.1 (Network Monitoring)","Req 10.5.1 (Retain audit logs); Req 10.6.1 (Transmit logs to centralized server)",,
1.3.10,Brocade - Management,Firmware at current supported level (check Broadcom CVEs),HIGH,"version → compare against Broadcom FOS release notes","SANnav: Inventory > Firmware","CIS 7.2 (Vulnerability Management - Remediate vulnerabilities)","Req 6.3.3 (All software protected from known vulnerabilities); Req 11.3.1",,
2.1.1,Alletra MP - Host Access,No volumes presented to wildcard / all-hosts,CRITICAL,"showvlun -t → flag any entry with host * or no host restriction","SSMC: Block Persona > Virtual Volumes > Exports — filter by host","CIS 6.1 (Access Control - Establish); CIS 3.3 (Data Protection - Configure data access)","Req 7.2.1; Req 1.3.2",,
2.1.2,Alletra MP - Host Access,Each ESX host or cluster in its own host set,HIGH,"showhostset → verify host sets map 1:1 to clusters; no mixing of unrelated hosts","SSMC: Block Persona > Hosts > Host Sets","CIS 6.2 (Access Control - Least-privilege)","Req 7.2.2; Req 7.2.5 (Assign minimum required access)",,
2.1.3,Alletra MP - Host Access,LUN 0 not presented to ESX hosts,MEDIUM,"showvlun -t → check for lun=0 exports to VMware hosts","SSMC: Virtual Volumes > Exports — sort by LUN ID","CIS 4.1 (Secure Config - Establish and maintain)","Req 2.2.1 (Configuration standards)",,
2.1.4,Alletra MP - Host Access,iSCSI ports use mutual CHAP (if iSCSI in use),HIGH,"showport -iscsi then showiscsisession → verify CHAP negotiated","SSMC: Block Persona > Ports > iSCSI","CIS 4.2; CIS 6.3 (Access Control - Require MFA for remote access)","Req 8.6.1 (Authenticate system/app accounts); Req 4.2.1",,
2.2.1,Alletra MP - Management,Default Administrator account disabled or renamed,CRITICAL,"showuser -d Administrator → check if active","SSMC: Security > Users","CIS 5.2 (Account Management - Use unique passwords / disable defaults)","Req 2.1.1 (Change all vendor-supplied defaults); Req 8.2.3",,
2.2.2,Alletra MP - Management,Named accounts only (no shared credentials),HIGH,"showuser → flag any non-personal account names","SSMC: Security > Users","CIS 5.1 (Account Management - Establish and maintain inventory)","Req 8.2.1 (Unique user ID); Req 8.2.2 (No shared credentials)",,
2.2.3,Alletra MP - Management,Least-privilege roles assigned (no unnecessary super role),HIGH,"showuser -d <username> → verify roles; backup operators must not have super","SSMC: Security > Users > Roles","CIS 6.2 (Access Control - Establish least-privilege)","Req 7.2.2 (Least-privilege access assignment)",,
2.2.4,Alletra MP - Management,MFA enabled (if SSMC version supports it),HIGH,"showsys → check SSMC version; then review auth policy","SSMC: Security > Authentication Policies","CIS 6.3 (Access Control - Require MFA)","Req 8.4.2 (MFA for all access into CDE); Req 8.5.1",,
2.2.5,Alletra MP - Management,API client credentials rotated and inventoried,MEDIUM,"No direct CLI — review REST API client registrations","OneView: Security > API Clients","CIS 5.3 (Account Management - Disable/delete unused); CIS 4.7","Req 8.3.7 (Passwords/passphrases not the same as last 4); Req 8.6.2",,
2.2.6,Alletra MP - Management,Audit logging enabled and shipped to SIEM,MEDIUM,"showsys -detail → check log config; verify remote syslog target","SSMC: System > Event Log Settings","CIS 8.2 (Audit Log Management - Collect audit logs)","Req 10.2.1; Req 10.6.1 (Forward logs to centralized server)",,
2.2.7,Alletra MP - Management,Management interface on OOB / management VLAN only,HIGH,"shownet → verify management IP is not on a data VLAN","Physical / switch config verification","CIS 12.2 (Network Infrastructure Mgmt - Maintain secure network arch)","Req 1.3.2; Req 1.4.1 (NSCs between trusted and untrusted networks)",,
2.2.8,Alletra MP - Management,HTTPS only for SSMC / REST API (TLS 1.2+),HIGH,"showcert → verify cert valid and not expired; openssl s_client -connect <ssmc-ip>:443","SSMC: Security > Certificate Management","CIS 4.8; CIS 12.6 (Use secure protocols)","Req 4.2.1 (Strong cryptography for data in transit); Req 2.2.5",,
2.2.9,Alletra MP - Management,Firmware at current HPE supported level,HIGH,"showsys → compare against HPE Support Center advisories","SSMC: System > Software > Versions","CIS 7.2 (Vulnerability Management - Remediate vulnerabilities)","Req 6.3.3 (Protect from known vulnerabilities); Req 11.3.1",,
2.3.1,Alletra MP - Data Protection,Snapshot schedules have retention limits set,MEDIUM,"showsched → verify each schedule has expiry / retention; unlimited retention fills pool","SSMC: Data Protection > Schedules","CIS 11.2 (Data Recovery - Perform automated backups)","Req 12.3.4 (Review hardware/software for adequacy); Req 3.2.1 (Data retention policy)",,
2.3.2,Alletra MP - Data Protection,Replication traffic encrypted (if remote copy in use),HIGH,"showrcopy → verify link encryption; showport -rcip for IP-based replication","SSMC: Data Protection > Remote Copy","CIS 3.10 (Data Protection - Encrypt sensitive data in transit)","Req 4.2.1 (Strong cryptography for data in transit)",,
2.3.3,Alletra MP - Data Protection,Replication peer authentication configured (not none),HIGH,"showrcopy targets → verify target auth not set to none","SSMC: Data Protection > Remote Copy > Targets","CIS 6.1 (Access Control - Establish); CIS 4.2","Req 8.6.1 (Authenticate system/app accounts); Req 1.2.1",,
